id,canonical_name,site,context,findspot,support,scribe,linear_a_text,linear_a_text_with_linebreaks,transliteration_text,gloss_text,image_rights,image_rights_url,source_dataset,undeciphered_language_notice
ANZb1,ANZb1,,,,Clay vessel,,𐘃,𐘃,TE,TE,Yannis and Efi Sakellarakis,papers/ANZb1.pdf#page=332,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
APZa1,APZa1,Apodoulou,,,Stone vessel,,𐘱𐘳𐘚𐙕𐘉𐘱𐄁𐝫,𐘱𐘳𐘚𐙕𐘉𐘱𐄁𐝫,JA-TA-I-*301-U-JA 𐄁,gives 𐄁,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=44,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
APZa2,APZa2,Apodoulou,,,Stone vessel,,"𐝫𐘅𐘤𐄁𐘚𐘢𐘅𐙁𐝫𐄁𐝫𐘚𐙂𐘰𐘅𐘹𐘅𐘃𐝫
𐝫𐘢𐘻𐘅𐘃𐄁𐘚𐘅𐘱𐘙𐘳𐝫𐄁𐝫𐘌𐄁","𐝫𐘅𐘤𐄁𐘚𐘢𐘅𐙁𐝫𐄁𐝫𐘚𐙂𐘰𐘅𐘹𐘅𐘃𐝫
𐝫𐘢𐘻𐘅𐘃𐄁𐘚𐘅𐘱𐘙𐘳𐝫𐄁𐝫𐘌𐄁","NA-SI 𐄁 I-PI-NA-MA 𐄁 I-KU-PA₃-NA-TU-NA-TE 
 PI-MI-NA-TE 𐄁 I-NA-JA-RE-TA 𐄁 QA 𐄁","NA-SI 𐄁 a favour 𐄁 I-KU-PA₃-NA-TU-NA-TE 
 PI-MI-NA-TE 𐄁 I-NA-JA-RE-TA 𐄁 QA 𐄁",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=46,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
APZa<3>,APZa<3>,Apodoulou,,,Stone vessel,,𐝫𐘱𐝫,𐝫𐘱𐝫,JA,JA,,papers/GORILA-Vol4.pdf#page=48,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARGZg1,ARGZg1,Arkhalkhori,,,Stone object,,𐘮 ≈ 𐙍𐘻,𐘮 ≈ 𐙍𐘻,WA ≈ VIN-MI,cloth ≈ wine,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH1a,ARKH1a,Arkhalkhori,,,Tablet,ARKH Scribe 1,"𐝫𐘳𐘢𐄁𐘌𐝫𐘸
𐝫𐄁𐘇𐘴𐝫
𐝫
𐘇𐘲𐘻𐙈𐝫
𐘗𐄈𐝆𐘇𐘂𐝫
𐘻𐘸𐘞𐘗𐝫","𐝫𐘳𐘢𐄁
𐘌𐝫
𐝫𐘸𐝫
𐝫𐄁
𐘇𐘴𐝫
𐝫
𐝫𐘇𐘲𐘻𐙈𐝫
𐝫𐘗𐄈𐝆
𐘇𐘂𐝫
𐝫𐘻𐘸𐘞𐘗𐝫","TA-PI 𐄁 
 QA 
 KI 
 𐝫 𐄁 
 A-RA 
 𐝫 
 A-SU-MI-*118 
 NE 2 ¹⁄₂ 
 A-PA 
 MI-KI-SA-NE","TA-PI 𐄁 
 QA 
 KI 
 𐝫 𐄁 
 A-RA 
 𐝫 
 A-SU-MI-*118 
 NE 2 ¹⁄₂ 
 A-PA 
 MI-KI-SA-NE",,papers/GORILA-Vol3.pdf#page=27,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH1b,ARKH1b,Arkhalkhori,,,Tablet,ARKH Scribe 1,"𐘇𐝫𐘱𐘙𐄉𐝫
𐝫𐘰𐝫
𐝫
—
𐝫𐘅𐄎","𐘇𐝫
𐝫𐘱𐘙𐄉𐝫
𐝫𐘰𐝫
𐝫
—
𐝫𐘅𐄎","A 
 JA-RE 3 
 PA₃ 
 𐝫 
 — 
 NA 8","A 
 JA-RE 3 
 PA₃ 
 𐝫 
 — 
 NA 8",,papers/GORILA-Vol3.pdf#page=29,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH2,ARKH2,Arkhalkhori,LMIB,,Tablet,ARKH Scribe 1,"𐘤𐘀𐘃𐙂𐘴
𐙎𐄋𐘇𐘤𐘀𐘄
𐘚𐄐𐄈𐙀𐙕𐘈
𐘦𐘐𐙈𐄌
𐘇𐘲𐘫𐘮
𐄊𐘘𐘻𐝫","𐘤𐘀𐘃
𐙂𐘴𐙎𐄋
𐘇𐘤𐘀𐘄𐘚𐄐𐄈
𐙀𐙕𐘈𐘦𐘐𐙈𐄌
𐘇𐘲𐘫𐘮𐄊
𐘘𐘻𐝫
𐝫","SI-DA-TE 
 KU-RA *131B 5 
 A-SI-DA-TO-I 12 
 ZU-*301-SE-DE-*21F-*118 6 
 A-SU-PU-WA 4 
 RU-MI 
 𐝫","SI-DA-TE 
 ""total""? lesser quality wine 5 
 A-SI-DA-TO-I 12 
 ZU-*301-SE-DE-*21F-*118 6 
 A-SU-PU-WA 4 
 RU-MI 
 𐝫",,papers/GORILA-Vol3.pdf#page=31,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH3a,ARKH3a,Arkhalkhori,,,Tablet,ARKH Scribe 1,"𐝫𐘾𐘗𐙉𐝫
𐝫𐝂𐙋𐄉𐝂𐙎𐄈𐝫
𐄈𐝫𐙩𐄈𐝫
𐘸𐘯𐙉𐄐𐄉𐝫
𐝫𐘃𐄈𐙩𐄈𐙢𐄈𐝫
𐝫𐙂𐄉𐝫","𐝫𐘾𐘗𐙉𐝫
𐝫𐝂
𐙋𐄉𐝂
𐙎𐄈𐝫
𐝫𐄈
𐙩𐄈
𐝫
𐝫𐘸𐘯𐙉𐄐𐄉𐝫
𐝫𐘃𐄈
𐙩𐄈
𐙢𐄈𐝫
𐝫𐙂𐄉","KA-NE GRA 
 ¹⁄₅ 
 OLIV 3 ¹⁄₅ 
 *131B 2 
 2 
 *317 2 
 𐝫 
 KI-NU GRA 13 
 TE 2 
 *317 2 
 *312 2 
 KU 3","KA-NE grain 
 ¹⁄₅ 
 olives 3 ¹⁄₅ 
 lesser quality wine 2 
 2 
 *317 2 
 𐝫 
 KI-NU grain 13 
 TE 2 
 *317 2 
 *312 2 
 KU 3",,papers/GORILA-Vol3.pdf#page=33,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH3b,ARKH3b,Arkhalkhori,,,Tablet,ARKH Scribe 1,"𐝫𐘱𐘢𐙉𐄌𐝫
𐝫𐘢𐙦𐙉𐄇𐝫𐙖𐝫
𐝫𐄈𐙖𐄊
𐝫𐙍𐄇𐝫","𐝫𐘱𐘢𐙉𐄌𐝫
𐝫𐘢𐙦𐙉𐄇𐝫
𐙖𐝫
𐝫
𐝫𐄈
𐙖𐄊
𐝫𐙍𐄇𐝫","JA-PI GRA 6 
 PI-*314 GRA 1 
 OLE 
 𐝫 
 2 
 OLE 4 
 VIN 1 𐝫","JA-PI grain 6 
 PI-*314 grain 1 
 olive oil 
 𐝫 
 2 
 olive oil 4 
 wine 1 𐝫",,papers/GORILA-Vol3.pdf#page=33,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
